Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
Yell_July18_Site1m_S102_L001_R1	(1.0, 9.997785717277988)	(2.0, 2.9048995493635434)	(3.0, 1.6912332357852025)	(4.0, 1.2806932500284265)	(5.0, 1.1221027307492055)	(6.0, 1.0018133180128908)	(7.0, 0.8127016044572912)	(8.0, 0.794747960765304)	(9.0, 0.5601536831900034)	('>10', 11.029521774777525)	('>50', 4.636827710850584)	('>100', 16.207352615546657)	('>500', 10.628557065656475)	('>1k', 13.947587329515192)	('>5k', 8.125220680203714)	('>10k+', 15.258801773819997)
Yell_July18_Site1m_S102_L001_R2	(1.0, 9.634523659910112)	(2.0, 2.4991472019246306)	(3.0, 1.5709438230488877)	(4.0, 1.2208477710551355)	(5.0, 0.8976821845993644)	(6.0, 0.6894199177723118)	(7.0, 0.628377529219555)	(8.0, 0.5649413215078667)	(9.0, 0.5493814969748111)	('>10', 10.23896299754035)	('>50', 5.404645206077907)	('>100', 11.857783203767871)	('>500', 7.1814574767949155)	('>1k', 12.371257413358707)	('>5k', 9.665643308976223)	('>10k+', 25.024985487471348)
Yell_July18_Site1n_S103_L001_R1	(1.0, 8.465919024901966)	(2.0, 2.883166404409255)	(3.0, 1.7995853835202438)	(4.0, 1.3370965190532091)	(5.0, 1.0240527512051352)	(6.0, 0.9416289931813072)	(7.0, 0.8100840056281273)	(8.0, 0.6760413284378617)	(9.0, 0.558233633888653)	('>10', 8.83599337279683)	('>50', 3.844776914687248)	('>100', 17.33854517904272)	('>500', 4.343065997285843)	('>1k', 20.223792991482878)	('>5k', 13.772676940496705)	('>10k+', 13.145340559982015)
Yell_July18_Site1n_S103_L001_R2	(1.0, 9.097834503084647)	(2.0, 2.4926942578115243)	(3.0, 1.5535629542673026)	(4.0, 1.1156347045649442)	(5.0, 0.8367260284237081)	(6.0, 0.6618877538277094)	(7.0, 0.5245148237879961)	(8.0, 0.5195194445138247)	(9.0, 0.5170217548767391)	('>10', 8.557917259867956)	('>50', 4.130346096527379)	('>100', 9.91083247995604)	('>500', 4.458792283804148)	('>1k', 18.024160984422743)	('>5k', 11.222535821032212)	('>10k+', 26.376018849231126)
Yell_July18_Site1o_S104_L001_R1	(1.0, 9.877608888545966)	(2.0, 3.237722310096061)	(3.0, 1.9096485475097413)	(4.0, 1.4254851278885845)	(5.0, 1.176652135334285)	(6.0, 1.0734539562516878)	(7.0, 0.7460167431812045)	(8.0, 0.702133405347016)	(9.0, 0.6379962192816635)	('>10', 10.100883453570464)	('>50', 4.208460321746847)	('>100', 16.001022337101194)	('>500', 8.84707380116508)	('>1k', 23.35702712086725)	('>5k', 7.742756838084951)	('>10k+', 8.956058794028008)
Yell_July18_Site1o_S104_L001_R2	(1.0, 10.518498514717797)	(2.0, 2.670614559623471)	(3.0, 1.5769067551406195)	(4.0, 1.1573627560665096)	(5.0, 0.9572354461633424)	(6.0, 0.7812198603448941)	(7.0, 0.7190116122063192)	(8.0, 0.5555341229119247)	(9.0, 0.5425137919061764)	('>10', 9.600806296053394)	('>50', 4.22437405964276)	('>100', 12.019212221750704)	('>500', 5.256355850468732)	('>1k', 16.26384012962463)	('>5k', 7.638111955557269)	('>10k+', 25.518402067821455)
Yell_July18_Site1p_S105_L001_R1	(1.0, 5.361619040080213)	(2.0, 1.682479371864316)	(3.0, 1.035553143128541)	(4.0, 0.7516217917547768)	(5.0, 0.6059338165726197)	(6.0, 0.4862548201422578)	(7.0, 0.4406448718963561)	(8.0, 0.3890038561138062)	(9.0, 0.322285171489636)	('>10', 6.742168093391081)	('>50', 4.624980681736797)	('>100', 19.8548397432273)	('>500', 13.959753932444505)	('>1k', 15.21987010588293)	('>5k', 3.6455918550432918)	('>10k+', 24.877399705231575)
Yell_July18_Site1p_S105_L001_R2	(1.0, 6.1173871907664354)	(2.0, 1.4745960127104747)	(3.0, 0.90183306758942)	(4.0, 0.6954574753197408)	(5.0, 0.6054626394213191)	(6.0, 0.5303570015039974)	(7.0, 0.4920974168183857)	(8.0, 0.4319752123124244)	(9.0, 0.46816161753231333)	('>10', 11.655226485433086)	('>50', 9.90565148722356)	('>100', 14.338109184938915)	('>500', 4.179529802897174)	('>1k', 12.830907713358439)	('>5k', 2.9524902654800544)	('>10k+', 32.42075742669426)
Yell_July18_Site1q_S106_L001_R1	(1.0, 8.537888280683243)	(2.0, 1.8505572775835917)	(3.0, 1.0327771549165734)	(4.0, 0.7755721163358175)	(5.0, 0.6726901009035151)	(6.0, 0.5183670777550616)	(7.0, 0.42010156301523444)	(8.0, 0.4220800633120095)	(9.0, 0.4036140605421091)	('>10', 7.852008177801227)	('>50', 3.55338653300798)	('>100', 10.157620523643079)	('>500', 5.257534788630219)	('>1k', 14.107366616104994)	('>5k', 8.800369320055399)	('>10k+', 35.63806634570995)
Yell_July18_Site1q_S106_L001_R2	(1.0, 6.970256545538482)	(2.0, 1.33482820022423)	(3.0, 0.7360021104003166)	(4.0, 0.4853920728088109)	(5.0, 0.49792257468838624)	(6.0, 0.42735606410340965)	(7.0, 0.31392204708830707)	(8.0, 0.311284046692607)	(9.0, 0.2789685418452813)	('>10', 4.5703356855503525)	('>50', 2.072808810921322)	('>100', 7.238673085800963)	('>500', 5.492976323946448)	('>1k', 12.441469366220405)	('>5k', 7.278902591835388)	('>10k+', 49.54890193233529)
